Global Company Name, Country, Sales, Profit, Assets, Market Value
Daiichi Sankyo,Japan,9.42e+009,8.598e+008,$18.79 B,$43.87 B
Rakuten,Japan,1.531e+010,-1.22e+009,$146.16 B,$11.45 B
Mitsui OSK Lines,Japan,1.081e+010,4.67e+009,$22.2 B,$8.9 B
Isuzu Motors,Japan,2.17e+010,1.08e+009,$23.6 B,$9.3 B
Renesas Electronics,Japan,9.05e+009,1.16e+009,$20.9 B,$20.81 B
SBI Holdings,Japan,5.58e+009,3.55e+009,$152.48 B,$5.49 B
Central Japan Railway,Japan,8.25e+009,-9.319e+008,$81.51 B,$24.77 B
Mitsubishi UFJ Lease,Japan,1.405e+010,8.24e+008,$86.11 B,$6.49 B
Sumitomo Metal Mining,Japan,1.071e+010,2e+009,$17.89 B,$13.03 B
Subaru,Japan,2.515e+010,5.932e+008,$29.47 B,$11.61 B
SMC,Japan,6.4e+009,1.67e+009,$14.77 B,$33.91 B
Kao,Japan,1.291e+010,9.978e+008,$14.8 B,$19.19 B
Dentsu,Japan,9.88e+009,9.865e+008,$32.31 B,$10.34 B
Toray Industries,Japan,1.972e+010,9.757e+008,$25.73 B,$7.77 B
Fanuc,Japan,6.52e+009,1.43e+009,$14.79 B,$31.36 B
AGC,Japan,1.545e+010,1.13e+009,$23.15 B,$8.47 B
Daiwa Securities,Japan,5.82e+009,1.16e+009,$229.39 B,$7.59 B
Cosmo Energy Holdings,Japan,2.195e+010,1.36e+009,$16.9 B,$2.11 B
Hoya,Japan,5.86e+009,1.42e+009,$8.36 B,$36.8 B
Chubu Electric Power,Japan,2.412e+010,-2.057e+008,$52.96 B,$7.71 B
Mazda Motor,Japan,2.808e+010,6.919e+008,$26.09 B,$4.53 B
Yamaha Motor,Japan,1.65e+010,1.42e+009,$15.92 B,$7.4 B
Kajima,Japan,1.821e+010,9.415e+008,$19.62 B,$5.64 B
Secom,Japan,9.55e+009,8.548e+008,$16.25 B,$15.21 B
Kirin Holdings,Japan,1.658e+010,5.442e+008,$21.47 B,$11.79 B
Olympus,Japan,7.71e+009,9.019e+008,$11.23 B,$23.96 B
Tohoku Electric Power,Japan,1.952e+010,-1.713e+008,$40.14 B,$2.83 B
Toppan Printing,Japan,1.382e+010,9.82e+008,$20.32 B,$5.57 B
Kyushu Electric Power,Japan,1.622e+010,1.157e+008,$45.89 B,$3.06 B
Nippon Paint,Japan,9.23e+009,6.15e+008,$16.98 B,$19.29 B
Kobe Steel,Japan,1.801e+010,6.691e+008,$23.19 B,$1.76 B
Mitsui Chemicals,Japan,1.383e+010,1.14e+009,$16.12 B,$4.41 B
Sharp,Japan,2.278e+010,7.55e+008,$17.09 B,$5.29 B
Sojitz,Japan,1.813e+010,6.581e+008,$21.79 B,$3.62 B
SG Holdings,Japan,1.362e+010,8.297e+008,$8.05 B,$11.02 B
Tokyo Gas,Japan,1.747e+010,3.455e+008,$27.3 B,$7.93 B
Tokyo Century,Japan,1.132e+010,4.775e+008,$49.19 B,$3.88 B
Japan Exchange Group,Japan,1.25e+009,4.736e+008,$539.07 B,$8.62 B
Terumo,Japan,6.27e+009,8.224e+008,$12.17 B,$22.93 B
Ajinomoto,Japan,1.029e+010,7.126e+008,$12.13 B,$13.89 B
NEXON,Japan,2.5e+009,1.05e+009,$8.57 B,$20.32 B
Obayashi,Japan,1.698e+010,6.006e+008,$20.83 B,$5.09 B
Oji Holdings,Japan,1.311e+010,8.203e+008,$17.84 B,$4.8 B
Mitsubishi Materials,Japan,1.565e+010,6.814e+008,$18.33 B,$2.09 B
Kawasaki Kisen Kaisha,Japan,6.49e+009,4.27e+009,$11.72 B,$5.3 B
Shimano,Japan,4.97e+009,1.06e+009,$6.13 B,$18 B
Suntory Beverage & Food,Japan,1.155e+010,6.251e+008,$14.56 B,$11.91 B
Osaka Gas,Japan,1.315e+010,6.195e+008,$22.27 B,$6.91 B
West Japan Railway,Japan,8.95e+009,-1.14e+009,$32.35 B,$9.42 B
Unicharm,Japan,7.12e+009,6.621e+008,$8.58 B,$20.27 B
Iida Group Holdings,Japan,1.262e+010,9.763e+008,$13.68 B,$4.74 B
Fukuoka Financial Group,Japan,2.53e+009,4.83e+008,$251.69 B,$3.63 B
Nitori Holdings,Japan,7.28e+009,8.675e+008,$8.54 B,$12.05 B
Shiseido,Japan,9.42e+009,3.863e+008,$10.24 B,$19.14 B
Mebuki Financial Group,Japan,2.04e+009,4.136e+008,$207.85 B,$2.03 B
Concordia Financial Group,Japan,2.66e+009,3.608e+008,$203.71 B,$4.54 B
Medipal Holdings,Japan,2.985e+010,3.314e+008,$15.44 B,$3.35 B
NIPPON EXPRESS HOLDINGS,Japan,2.064e+010,5.919e+008,$14.24 B,$5.39 B
Taisei,Japan,1.375e+010,6.912e+008,$15.51 B,$5.47 B
All Nippon Airways,Japan,8.55e+009,-1.8e+009,$28.13 B,$9.13 B
Chiba Bank,Japan,1.94e+009,4.959e+008,$160.78 B,$4.46 B
Oriental Land,Japan,2.04e+009,-2.422e+008,$9.48 B,$57.49 B
Hokuhoku Financial Group,Japan,1.61e+009,2.186e+008,$150.22 B,$877 M
Chugoku Electric Power,Japan,1.03e+010,-3.173e+008,$30.79 B,$2.44 B
Shionogi,Japan,2.66e+009,8.809e+008,$9.02 B,$16.32 B
Shizuoka Bank,Japan,2.01e+009,4.317e+008,$127.33 B,$3.8 B
Hachijuni Bank,Japan,1.28e+009,2.846e+008,$120.9 B,$1.6 B
Kyushu Financial Group,Japan,1.63e+009,1.321e+008,$120.65 B,$1.36 B
Nishi-nippon Financial Holdings,Japan,1.25e+009,1.889e+008,$118.56 B,$917 M
Japan Securities,Japan,2.74e+008,4.32e+007,$116.82 B,$655 M
Dai Nippon Printing,Japan,1.228e+010,6.419e+008,$16.55 B,$5.63 B
North Pacific Bank,Japan,1.13e+009,1.032e+008,$112.65 B,$744 M
Nitto Denko,Japan,7.66e+009,8.467e+008,$9.01 B,$10.1 B
Bank of Kyoto,Japan,1.16e+009,1.957e+008,$109.08 B,$3.12 B
Shinsei Bank,Japan,2.64e+009,5.129e+008,$91.69 B,$3.83 B
Yamaguchi Financial,Japan,1.55e+009,2.602e+008,$107.32 B,$1.35 B
Hirogin Holdings,Japan,1.22e+009,2.313e+008,$100.28 B,$1.56 B
Gunma Bank,Japan,1.3e+009,1.679e+008,$96.17 B,$1.21 B
Daishi Hokuetsu Financial Group,Japan,1.2e+009,1.235e+008,$90.37 B,$893 M
